,OBJECTID *,address,zip,lat,long,neighborhood,status,NTA2020,NTAName,NTAAbbrev,CDTA2020,CDTAName,NTAType
0,1,28-15 42nd street #d1 in astoria,11103,40.764247,-73.912123,Northwest Queens,Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
1,2,3225 grand concourse #f52,10468,40.877628,-73.885418,Bronx Park and Fordham,Claim,BX0702,Bedford Park,BdfrdPk,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),
2,3,3300 bailey ave #a7,10463,40.879467,-73.900804,Kingsbridge and Riverdale,No Claim,BX0801,Kingsbridge Heights-Van Cortlandt Village,KngbrdgHts,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),
3,4,3135 godwin terr #1f,10463,40.880347,-73.905018,Kingsbridge and Riverdale,No Claim,BX0802,Kingsbridge-Marble Hill,Kngbrdg,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),
4,5,1507 saint johns place #a1,11213,40.670623,-73.927844,Central Brooklyn,Claim,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),
5,6,83-46 118th street 11415,11415,40.705691,-73.834799,Southwest Queens,No Claim,QN0901,Kew Gardens,KwGrdns,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),
6,7,333 cypress ave #6b,10454,40.80823,-73.913478,Hunts Point and Mott Haven,Claim,BX0101,Mott Haven-Port Morris,MttHvn,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),
7,8,159 east 92nd street #1,10128,40.783175,-73.951889,Upper East Side,Claim,MN0802,Upper East Side-Carnegie Hill,UES_CrngHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
8,9,263 west 113rd street #2 in  south harlem,10026,40.802266,-73.955717,Central Harlem,Claim,MN1001,Harlem (South),Hrlm_S,MN10,MN10 Harlem (CD 10 Equivalent),
9,10,415 stratford road #5n in ditmas park,11218,40.638501,-73.967438,Borough Park,Claim,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),
10,11,960 willoughby avenue #g6 in bushwick,11221,40.697764,-73.930333,Bushwick and Williamsburg,Claim,BK0401,Bushwick (West),Bshwck_W,BK04,BK04 Bushwick (CD 4 Equivalent),
11,12,1380 first avenue #3h in lenox hill,10021,40.768771,-73.954908,Upper East Side,Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
12,13,352 east 76th street #2rw in lenox hill,10021,40.770662,-73.955206,Upper East Side,Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
13,14,165 hester street #5r in little italy,10013,40.717816,-73.996531,Greenwich Village and Soho,Claim,MN0201,SoHo-Little Italy-Hudson Square,SoHo,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),
14,15,13 palmetto street #1 in bushwick,11221,40.689562,-73.921091,Bushwick and Williamsburg,No Claim,BK0402,Bushwick (East),Bshwck_E,BK04,BK04 Bushwick (CD 4 Equivalent),
15,16,449 east 84th street #1b in yorkville,10028,40.774977,-73.94845,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
16,17,25-56 38th street #1f in astoria,11103,40.767067,-73.913776,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
17,18,263 west 123rd street #1a in south harlem,10027,40.808844,-73.951481,Central Harlem,No Claim,MN1001,Harlem (South),Hrlm_S,MN10,MN10 Harlem (CD 10 Equivalent),
18,19,232 east 77th street #2 in  lenox hill,10075,40.772342,-73.957313,Upper East Side,No Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
19,20,939 68th street #d3 in  dyker heights,11219,40.629054,-74.010991,Borough Park,No Claim,BK1002,Dyker Heights,DykrHts,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),
20,21,31-12 34th street #1a  in astoria,11106,40.762913,-73.921504,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
21,22,220 east 18th street #35 in prospect park south,11226,40.645865,-73.962662,Flatbush,No Claim,BK1401,Flatbush,Fltbsh,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),
22,23,31-14 34th street #14 in astoria,11106,40.762877,-73.921628,Northwest Queens,Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
23,24,30-60 48th street #2a in astoria,11103,40.764357,-73.923462,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
24,25,1796 third avenue #3d in east harlem,10029,40.787659,-73.947919,East Harlem,No Claim,MN1101,East Harlem (South),EstHrlm_S,MN11,MN11 East Harlem (CD 11 Equivalent),
25,26,128 east 86th street #4b in upper east side,10028,40.779411,-73.956027,Upper East Side,Claim,MN0802,Upper East Side-Carnegie Hill,UES_CrngHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
26,27,69 west 71st street #3c in  lincoln square,10023,40.776646,-73.97879,Upper West Side,No Claim,MN0701,Upper West Side-Lincoln Square,UWS_LclnSq,MN07,MN07 Upper West Side (CD 7 Approximation),
27,28,109 luquer street #b3 in  carroll gardens,11231,40.67798,-74.000885,Northwest Brooklyn,Claim,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,CrrllGrdns,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),
28,29,249 east 37th street #13w in east flatbush,11203,40.650892,-73.942549,Flatbush,No Claim,BK1703,East Flatbush-Rugby,EFb_Rgby,BK17,BK17 East Flatbush (CD 17 Approximation),
29,30,24-46 44th street #a9 in astoria,11103,40.767194,-73.908173,Northwest Queens,No Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
30,31,425 east 65th street #23 in lenox hilll,10065,40.763082,-73.957824,Upper East Side,No Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
31,32,298 convent avenue #4a in hamilton heights,10031,40.822744,-73.947907,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),
32,33,136 west 111st street #1fe in south harlem,10026,40.799377,-73.953777,Central Harlem,No Claim,MN1001,Harlem (South),Hrlm_S,MN10,MN10 Harlem (CD 10 Equivalent),
33,34,2095 madison avenue #1c in central harlem,10037,40.809934,-73.937199,Central Harlem,No Claim,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),
34,35,1239 pacific street #1f in crown heights,11216,40.677981,-73.951275,Central Brooklyn,Claim,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),
